EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
0,160.7835999,0.026,1000.5467,0.026,987.5715909,0.026,988.8691018,0.026,991.4641237,0.026,994.0591456,0.026,996.6541674,0.026,999.2491893
4.68E-06,162.131546,0.0262,1001.11814,0.0262,988.1414102,0.0262,989.4390831,0.0262,992.034429,0.0262,994.6297749,0.0262,997.2251208,0.0262,999.8204667
0,163.5700531,0.0264,1001.68119,0.0264,988.7072212,0.0264,990.0046181,0.0264,992.5994119,0.0264,995.1942058,0.0264,997.7889996,0.0264,1000.383793
7.19E-06,164.77948,0.0266,1002.235976,0.0266,989.2690822,0.0266,990.5657716,0.0266,993.1591502,0.0266,995.7525289,0.0266,998.3459075,0.0266,1000.939286
0,166.1984711,0.0268,1002.782616,0.0268,989.8270502,0.0268,991.1226069,0.0268,993.7137201,0.0268,996.3048333,0.0268,998.8959466,0.0268,1001.48706
7.92E-06,166.5479889,0.027,1003.321233,0.027,990.381181,0.027,991.6751861,0.027,994.2631965,0.027,996.8512068,0.027,999.4392171,0.027,1002.027227
0,167.8882599,0.0272,1003.851942,0.0272,990.9315289,0.0272,992.2235702,0.0272,994.8076528,0.0272,997.3917354,0.0272,999.9758181,0.0272,1002.559901
1.64E-05,168.5706177,0.0274,1004.374861,0.0274,991.4781474,0.0274,992.7678187,0.0274,995.3471614,0.0274,997.926504,0.0274,1000.505847,0.0274,1003.085189
5.88E-06,170.0423584,0.0276,1004.890103,0.0276,992.0210888,0.0276,993.3079901,0.0276,995.8817929,0.0276,998.4555957,0.0276,1001.029398,0.0276,1003.603201
2.00E-05,171.3592529,0.0278,1005.397781,0.0278,992.560404,0.0278,993.8441417,0.0278,996.4116171,0.0278,998.9790925,0.0278,1001.546568,0.0278,1004.114043
0,171.6164703,0.028,1005.898007,0.028,993.0961432,0.028,994.3763296,0.028,996.9367022,0.028,999.4970749,0.028,1002.057448,0.028,1004.61782
1.11E-05,172.9396667,0.0282,1006.390889,0.0282,993.6283554,0.0282,994.9046087,0.0282,997.4571154,0.0282,1000.009622,0.0282,1002.562129,0.0282,1005.114636
0,174.4164429,0.0284,1006.876536,0.0284,994.1570885,0.0284,995.4290332,0.0284,997.9729227,0.0284,1000.516812,0.0284,1003.060702,0.0284,1005.604591
1.56E-05,174.8943787,0.0286,1007.355053,0.0286,994.6823896,0.0286,995.949656,0.0286,998.4841887,0.0286,1001.018721,0.0286,1003.553254,0.0286,1006.087787
4.46E-06,176.3242493,0.0288,1007.826546,0.0288,995.2043047,0.0288,996.4665288,0.0288,998.9909771,0.0288,1001.515425,0.0288,1004.039874,0.0288,1006.564322
9.39E-06,177.7974243,0.029,1008.291118,0.029,995.7228789,0.029,996.9797028,0.029,999.4933505,0.029,1002.006998,0.029,1004.520646,0.029,1007.034294
